name	cache_path	confidence	face_width_pct	vert_center_pct	verdict	reason
丁儀	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/source/cache/f404758f85eaac1361ba307633034ed675b13ffe8f5564a2a535dbb62d93147c.bin	0.915	24.4	36.1	CROP	crop OK
丁原	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/source/cache/a0855dbd3d92793aa4e92b6a0bacc6a72192bf85dbdd8db3e8b2fb0b36c68bc4.bin	0.891	20.2	18.3	CROP	crop OK
丁固	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/source/cache/37c09d2bdccb74f274bbd614ad614d6ad9ffb8dd1f3cc4685cfbecd698e47b81.bin	0.936	20.5	24.9	CROP	crop OK
丁奉	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/source/cache/0d342b83ce837e24df37f3bc5c08a9e3185da7da778f5cf4cba1668b3afb8e9a.bin	0.933	20.0	30.5	CROP	crop OK
丁封	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/source/cache/ffb07293f7d70aad48f0b757cd11870fc84e0f2a6312b69902d71d9a7231fb2d.bin	0.937	17.8	21.8	CROP	crop OK
丁斐	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/source/cache/38e8c1e03c5a3251b78ee1f0108e16fa24a8e4c58ebd9adb6d49637b80838a10.bin	0.925	21.8	23.4	CROP	crop OK
万彧	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/source/cache/8c4d4b64d8ea741e9f23ae3875321902c41565f3315d987415ab1b63a73f5608.bin	0.937	22.1	35.0	CROP	crop OK
上官子脩	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/source/cache/2037b3c168afa7b7e7ca49939b7289e939e59ab0fe366cd2df1facc5c3fbf802.bin	0.934	26.3	22.4	CROP	crop OK
丘力居	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/source/cache/f398b8cd1c14affb74adfe919b5ffec077894120d0099c683a92e4b3bb8f82ec.bin	0.907	16.1	23.2	CROP	crop OK
丘建	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/source/cache/ddd830ccf82a3ab2119439dba41ada772d874003ebd320b54970a52154f39a73.bin	0.930	21.9	24.1	CROP	crop OK
