name	page_encoded	mode	img_status	verify	source_url	cache_path	output_path	html_path	note
丁儀	%E4%B8%81%E5%84%80	page	OK	match	https://cdn.wikiwiki.jp/to/w/sangokushi14/%E4%B8%81%E5%84%80/::attach/%E3%83%86%E3%82%A4%E3%82%AE.jpg	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/source/cache/f404758f85eaac1361ba307633034ed675b13ffe8f5564a2a535dbb62d93147c.bin	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/out/f404758f85eaac13.png	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/source/pages/丁儀.html	
丁原	%E4%B8%81%E5%8E%9F	page	OK	match	https://cdn.wikiwiki.jp/to/w/sangokushi14/%E4%B8%81%E5%8E%9F/::attach/%E3%83%86%E3%82%A4%E3%82%B2%E3%83%B3.jpg	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/source/cache/a0855dbd3d92793aa4e92b6a0bacc6a72192bf85dbdd8db3e8b2fb0b36c68bc4.bin	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/out/a0855dbd3d92793a.png	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/source/pages/丁原.html	
丁固	%E4%B8%81%E5%9B%BA	page	OK	match	https://cdn.wikiwiki.jp/to/w/sangokushi14/%E4%B8%81%E5%9B%BA/::attach/%E3%83%86%E3%82%A4%E3%82%B3.jpg	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/source/cache/37c09d2bdccb74f274bbd614ad614d6ad9ffb8dd1f3cc4685cfbecd698e47b81.bin	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/out/37c09d2bdccb74f2.png	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/source/pages/丁固.html	
丁奉	%E4%B8%81%E5%A5%89	page	OK	match	https://cdn.wikiwiki.jp/to/w/sangokushi14/%E4%B8%81%E5%A5%89/::attach/%E3%83%86%E3%82%A4%E3%83%9B%E3%82%A6.jpg	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/source/cache/0d342b83ce837e24df37f3bc5c08a9e3185da7da778f5cf4cba1668b3afb8e9a.bin	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/out/0d342b83ce837e24.png	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/source/pages/丁奉.html	
丁封	%E4%B8%81%E5%B0%81	page	OK	match	https://cdn.wikiwiki.jp/to/w/sangokushi14/%E4%B8%81%E5%B0%81/::attach/%E3%83%86%E3%82%A4%E3%83%9B%E3%82%A6.jpg	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/source/cache/ffb07293f7d70aad48f0b757cd11870fc84e0f2a6312b69902d71d9a7231fb2d.bin	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/out/ffb07293f7d70aad.png	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/source/pages/丁封.html	
丁斐	%E4%B8%81%E6%96%90	page	OK	match	https://cdn.wikiwiki.jp/to/w/sangokushi14/%E4%B8%81%E6%96%90/::attach/%E3%83%86%E3%82%A4%E3%83%92.jpg	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/source/cache/38e8c1e03c5a3251b78ee1f0108e16fa24a8e4c58ebd9adb6d49637b80838a10.bin	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/out/38e8c1e03c5a3251.png	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/source/pages/丁斐.html	
万彧	%E4%B8%87%E5%BD%A7	page	OK	match	https://cdn.wikiwiki.jp/to/w/sangokushi14/%E4%B8%87%E5%BD%A7/::attach/%E3%83%90%E3%83%B3%E3%82%A4%E3%82%AF.jpg	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/source/cache/8c4d4b64d8ea741e9f23ae3875321902c41565f3315d987415ab1b63a73f5608.bin	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/out/8c4d4b64d8ea741e.png	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/source/pages/万彧.html	
上官子脩	%E4%B8%8A%E5%AE%98%E5%AD%90%E8%84%A9	page	OK	match	https://cdn.wikiwiki.jp/to/w/sangokushi14/%E4%B8%8A%E5%AE%98%E5%AD%90%E8%84%A9/::attach/%E3%82%B8%E3%83%A7%E3%82%A6%E3%82%AB%E3%83%B3%E3%82%B7%E3%82%B7%E3%83%A5%E3%82%A6.jpg	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/source/cache/2037b3c168afa7b7e7ca49939b7289e939e59ab0fe366cd2df1facc5c3fbf802.bin	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/out/2037b3c168afa7b7.png	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/source/pages/上官子脩.html	
丘力居	%E4%B8%98%E5%8A%9B%E5%B1%85	page	OK	match	https://cdn.wikiwiki.jp/to/w/sangokushi14/%E4%B8%98%E5%8A%9B%E5%B1%85/::attach/%E3%82%AD%E3%83%A5%E3%82%A6%E3%83%AA%E3%82%AD%E3%82%AD%E3%83%A7.jpg	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/source/cache/f398b8cd1c14affb74adfe919b5ffec077894120d0099c683a92e4b3bb8f82ec.bin	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/out/f398b8cd1c14affb.png	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/source/pages/丘力居.html	
丘建	%E4%B8%98%E5%BB%BA	page	OK	match	https://cdn.wikiwiki.jp/to/w/sangokushi14/%E4%B8%98%E5%BB%BA/::attach/%E3%82%AD%E3%83%A5%E3%82%A6%E3%82%B1%E3%83%B3.jpg	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/source/cache/ddd830ccf82a3ab2119439dba41ada772d874003ebd320b54970a52154f39a73.bin	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/out/ddd830ccf82a3ab2.png	/private/tmp/claude-501/-Users-apple-Desktop--------opensamguk/fef7c651-1d05-4890-9ef4-35a91bc40974/scratchpad/rtk-faces/source/pages/丘建.html	
